index;Batch;VFA_geq;TAN_geq;Unnamed: 4;Unnamed: 5
Methavert_20211011_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211011_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211012_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211012_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211013_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211013_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211014_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211014_3;Methavert;;2;TAN sont données moyennes manuelle;
Gatinais_20211015_1;;;;;
Methavert_20211015_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211015_3;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211016_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211016_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211018_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211018_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211020_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211020_2;Methavert;;2;TAN sont données moyennes manuelle;
Biowatt_20211022_1;;;;;
Methavert_20211022_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211025_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211025_3;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211026_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211027_1;;;;;
Methavert_20211027_2;;;;;
Methavert_20211027_3;;;;;
Methavert_20211028_1;;;;;
StepNantes_20210915_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210916_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210917_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210920_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210921_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210922_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210923_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210924_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210927_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210928_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210929_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20210930_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211001_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211004_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211005_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211006_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211007_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211008_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
